Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
50,156140.54999999996,184378.4721166668,87990.0,25491.333333333336,454000.35544999974,-91911.8615833333,4499,25,8,0,0,35,10
51,170601.5166666665,184020.40446666675,88038.0,35951.5,478611.4211333333,-143243.17101666663,6203,34,18,11,0,52,17
52,155109.40000000002,185360.56745000015,89466.0,27184.850000000002,457120.8174499999,-82597.64001666661,2564,26,7,3,0,34,9
53,155016.93333333323,186887.4815500001,88002.0,26159.76666666667,456066.18154999986,-55145.6432,3584,29,10,2,0,29,8
54,154994.5333333332,184182.63233000014,88692.0,25569.86666666667,453439.03232999996,-105270.21955,4206,37,11,4,0,34,11
55,158587.4333333332,184509.47258000015,88254.0,30824.06666666667,462174.97258000006,-133552.58878333325,1831,24,10,14,0,60,10
56,158439.74999999994,189006.2351100001,91314.0,30252.5,469012.48510999983,-107642.37068333333,1877,24,9,8,0,41,16
57,150569.7666666666,187289.00336000006,87816.0,23505.600000000002,449180.3700266665,-68162.845,3585,30,7,1,0,18,12
58,163281.56666666674,183433.26216000007,88398.0,35768.65,470881.4788266665,-93912.83095,2284,26,8,10,0,26,10
59,159309.18333333323,187813.92473000006,90342.0,27634.98333333333,465100.0913966663,-105438.62041666667,4291,25,11,2,0,33,13
60,178414.2166666665,188746.67867333334,90198.0,47823.200000000004,505182.0953399999,-147767.9913733333,4429,26,13,17,0,40,20
61,152051.36666666655,197097.18236666673,88656.0,25081.433333333334,462885.9823666666,-60610.97118333333,2369,27,7,4,0,21,7
62,151540.33333333343,184684.7731166668,88050.0,23975.083333333336,448250.1897833331,-74973.57544999999,3086,27,8,3,0,27,7
63,156103.4499999999,186622.66764000006,88056.0,27197.716666666667,457979.83430666657,-31066.002783333333,1562,24,7,1,0,14,3
64,179305.44999999987,186723.78358333337,87084.0,45145.1,498258.3335833333,-115320.7403,3445,31,8,2,0,18,21
65,157664.73333333328,186627.9922500001,88374.0,28190.999999999996,460857.7255833333,-110099.12226666667,3361,31,12,31,0,65,8
66,147880.61666666679,185345.1474933334,88860.0,22335.833333333336,444421.59749333316,-68504.51801666667,3395,23,8,0,0,27,11
67,175807.71666666656,186439.27164333346,88992.0,41984.98333333334,493223.9716433334,-216816.65758333335,6994,33,20,21,0,81,19
68,157379.78333333324,192426.7697866667,88212.0,29918.1,467936.65312000003,-82557.80914999997,2092,22,4,0,0,26,3
69,148856.71666666667,184628.5614200001,87720.0,22464.933333333338,443670.2114199998,-48011.79351666666,1873,26,9,14,0,45,6
70,149396.48333333337,185669.62625000006,88056.0,22498.000000000004,445620.10958333313,-26564.78845,2727,29,5,0,0,12,2
71,160608.4999999999,186727.71972666678,89508.0,32261.466666666667,469105.6863933333,-156622.20968666667,1665,25,9,3,0,46,11
72,158722.43333333335,196264.68794000012,89070.0,29176.2,473233.3212733333,-112794.55586000001,4184,28,12,2,0,30,12
73,149688.05,186602.46377000003,88056.0,22897.816666666666,447244.33043666655,-52168.06503333334,2517,31,8,0,0,19,4
74,152938.83333333328,185772.08754333341,88110.0,25786.766666666666,452607.6875433332,-49645.09208333333,2043,23,7,1,0,20,2
75,160335.4166666666,186571.5798033334,88698.0,31503.883333333328,467108.87980333314,-123713.17421666667,2250,27,12,29,0,64,11
76,151900.13333333333,185965.7888000001,88878.0,22882.466666666667,449626.38879999984,-69704.41418333331,3056,26,10,5,0,39,16
77,192962.41666666648,185347.80683333336,91272.0,56199.350000000006,525781.5734999997,-212104.19034333332,4512,35,17,20,0,54,25
78,154544.94999999987,185054.57099333344,87720.0,26209.466666666667,453528.9876599999,-46185.64846666666,3303,29,8,3,0,26,4
79,163271.56666666668,187142.52060666677,88272.0,30164.283333333333,468850.3706066667,-115469.76317333333,3575,30,10,8,0,36,17
80,154188.71666666656,186441.5898033334,87972.0,24858.85,453461.15646999987,-46377.137916666674,2282,27,9,0,0,18,8
81,157137.19999999987,184096.0910533334,87864.0,27740.166666666668,456837.4577199999,-88296.36268333335,2426,26,10,6,0,36,10
82,156041.7499999999,186472.74195000003,87540.0,27140.416666666668,457194.9086166664,-48637.75626666666,2980,32,10,2,0,17,10
83,150392.45000000007,184183.03627000007,88110.0,23724.550000000003,446410.0362699997,-37827.10871666666,2358,26,5,0,0,18,1
84,171281.88333333324,184536.48004333337,87900.0,38823.36666666667,482541.7300433333,-98757.69159999999,3132,27,10,7,0,24,12
85,154443.6666666667,205844.15357666672,87924.0,24092.966666666667,472304.78690999985,-119741.57955666665,3827,22,10,7,0,36,15
86,150583.88333333333,185776.63202333346,90228.0,23112.883333333335,449701.39868999977,-109183.03928000003,3739,30,14,1,0,45,11
87,156883.43333333332,192020.01319666678,87768.0,26823.433333333334,463494.8798633332,-76119.19983333336,3451,29,9,3,0,41,8
88,158384.2499999999,186290.8528533334,86874.0,29782.083333333332,461331.1861866665,-124619.08578000004,2895,28,13,16,0,47,26
89,175728.73333333328,185999.09271000008,88116.0,40738.39999999999,490582.2260433331,-148144.05545,6464,39,16,23,0,67,8
90,152341.46666666667,186351.85616666675,87558.0,25270.083333333336,451521.40616666654,-75422.81224999996,3240,28,9,12,0,33,16
91,158860.5666666667,184957.79701000013,88518.0,31837.9,464174.26367666654,-145792.58497666664,1724,25,13,5,0,45,11
92,158380.54999999993,183813.40145000006,88122.0,27829.383333333335,458145.3347833332,-107070.88428333332,3088,27,16,8,0,53,15
93,153797.31666666656,185385.10534333347,87210.0,25210.8,451603.2220099999,-64725.93057666665,4069,32,12,4,0,30,9
94,158624.09999999998,189910.35491333337,87744.0,29625.816666666662,465904.2715799999,-64130.6596,2512,27,8,2,0,23,6
95,165594.09999999992,193334.39689000006,93684.0,33895.04999999999,486507.54688999976,-66647.14805,4727,28,6,2,0,7,10
96,152428.88333333321,184424.66679666674,88110.0,25035.716666666667,449999.2667966665,-149265.29403000002,2077,28,11,2,0,55,8
97,152424.36666666667,186075.97808333347,88224.0,23691.533333333336,450415.8780833331,-106383.49981666666,3694,28,11,0,0,35,16
98,150172.3499999999,191525.05415000007,87900.0,23657.983333333334,453255.38748333324,-81406.64534999998,2054,26,9,3,0,41,3
99,165230.84999999986,187968.62328333344,88320.0,31439.95,472959.4232833334,-99786.29583333332,8321,30,10,1,0,31,14
100,204583.6666666667,186218.23813000004,88140.0,70505.86666666667,549447.7714633332,-226426.44656666665,3818,29,13,18,0,73,8
