Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request1,1608.6,84.0,120.66,1253.93,3067.19,"['Barge01', 'Barge39']",Yes,0,1,0
Request10,617.17,588.0,427.05,0.0,1632.21,"['Barge26', 'Train32']",No,0,0,0
Request100,195.0,78.0,163.51,0.0,436.51,['Barge35'],No,0,0,0
Request101,200.0,120.0,316.78,0.0,636.78,['Barge31'],No,0,0,0
Request102,2333.2,1008.0,732.08,0.0,4073.28,"['Barge26', 'Train32']",Yes,0,3,0
Request103,427.2,96.0,130.44,4.13,657.77,"['Barge33', 'Barge48']",Yes,0,1,0
Request104,136.0,48.0,100.62,0.0,284.62,['Barge35'],No,0,0,0
Request105,775.83,1050.0,1465.26,0.0,3291.1,"['Barge17', 'Truck29.15']",No,0,0,0
Request106,938.2,504.0,1594.28,0.0,3036.48,"['Barge35', 'Train31']",No,0,0,0
Request107,1311.0,138.0,235.72,0.0,1684.72,['Barge28'],No,0,0,0
Request108,527.75,540.0,2339.44,0.0,3407.19,['Train15'],No,0,0,0
Request109,625.1,168.0,221.74,49.23,1064.08,"['Barge06', 'Barge48']",Yes,0,2,0
Request11,988.5,180.0,237.58,0.0,1406.08,"['Barge04', 'Barge48']",No,0,0,0
Request110,379.95,378.0,274.53,0.0,1032.48,"['Barge26', 'Train32']",Yes,0,3,0
Request111,1184.5,1260.0,1143.18,0.0,3587.68,"['Barge23', 'Train30']",No,0,0,0
Request112,272.33,420.0,385.72,0.0,1078.05,"['Barge36', 'Train30']",No,0,0,0
Request113,1899.83,480.0,623.37,1454.17,4457.37,"['Barge07', 'Barge48', 'Truck33.45']",Yes,1,5,0
Request114,312.3,378.0,362.46,0.0,1052.76,"['Barge45', 'Truck32.29']",Yes,0,1,0
Request115,262.65,324.0,1403.66,0.0,1990.31,['Train15'],No,0,0,0
Request116,640.0,96.0,253.42,0.0,989.42,['Barge31'],No,0,0,0
Request117,198.0,132.0,276.71,0.0,606.71,['Barge35'],No,0,0,0
Request118,902.75,540.0,2339.44,0.0,3782.19,['Train15'],No,0,0,0
Request119,2006.77,936.0,4055.02,1160.03,8157.82,['Train15'],No,0,0,0
Request12,131.7,378.0,806.49,0.0,1316.19,"['Barge17', 'Truck30.1']",No,0,0,0
Request120,139.5,240.0,314.02,0.0,693.52,"['Barge33', 'Barge48', 'Truck33.38']",Yes,0,2,0
Request121,731.5,588.0,833.22,0.0,2152.72,"['Train26', 'Barge49']",Yes,0,1,0
Request122,656.93,156.0,205.91,0.0,1018.84,"['Barge05', 'Barge48']",Yes,0,1,0
Request123,165.6,336.0,322.19,0.0,823.79,"['Barge45', 'Truck32.31']",Yes,0,1,0
Request124,253.1,216.0,935.77,0.0,1404.88,['Train15'],No,0,0,0
Request125,269.1,432.0,565.23,0.0,1266.33,"['Barge33', 'Barge48', 'Truck33.39']",Yes,0,2,0
Request126,1706.98,966.0,701.58,0.0,3374.56,"['Barge26', 'Train32']",Yes,0,3,0
Request127,1971.67,336.0,443.49,0.0,2751.16,"['Barge04', 'Barge48']",Yes,0,1,0
Request128,1101.6,714.0,2013.08,38.82,3867.49,"['Barge45', 'Train33']",Yes,0,1,0
Request129,245.1,378.0,1195.71,0.0,1818.81,"['Barge36', 'Train31']",No,0,0,0
Request13,168.6,252.0,169.05,0.0,589.65,"['Barge36', 'Train29']",No,0,0,0
Request130,1150.57,504.0,2183.48,0.0,3838.04,['Train15'],No,0,0,0
Request131,1046.07,1092.0,1002.86,0.0,3140.93,"['Barge36', 'Train30']",No,0,0,0
Request132,552.38,462.0,1307.7,0.0,2322.09,"['Barge26', 'Train33']",Yes,0,3,0
Request133,1517.15,798.0,2412.06,0.0,4727.21,"['Barge35', 'Train31']",No,0,0,0
Request134,1226.67,1800.0,3769.09,0.0,6795.76,"['Train24', 'Train31']",No,0,0,0
Request135,488.0,288.0,1247.7,0.0,2023.7,['Train15'],No,0,0,0
Request136,111.73,96.0,137.89,0.0,345.62,"['Barge01', 'Barge39']",No,0,0,0
Request137,1673.1,324.0,465.38,405.0,2867.48,"['Barge01', 'Barge39']",No,0,0,0
Request138,2550.6,1248.0,3288.6,1594.23,8681.43,"['Barge40', 'Barge47', 'Train31']",No,0,0,0
Request139,396.0,54.0,96.43,0.0,546.43,['Barge38'],No,0,0,0
Request14,810.0,162.0,415.07,0.0,1387.07,['Barge37'],No,0,0,0
Request140,389.67,120.0,172.36,0.0,682.03,"['Barge01', 'Barge39']",No,0,0,0
Request141,341.7,714.0,1523.36,0.0,2579.06,"['Barge17', 'Truck30.46']",No,0,0,0
Request142,1139.5,180.0,258.55,0.0,1578.05,"['Barge01', 'Barge39']",No,0,0,0
Request143,2789.37,1092.0,3078.83,0.0,6960.19,"['Barge45', 'Train33']",No,0,0,0
Request144,527.2,288.0,413.67,0.0,1228.87,"['Barge01', 'Barge39']",No,0,0,0
Request145,84.42,30.0,79.19,0.0,193.61,['Barge31'],No,0,0,0
Request146,4978.35,324.0,465.38,2247.3,8015.03,"['Barge01', 'Barge39']",Yes,0,2,0
Request147,2250.4,348.0,459.33,662.17,3719.89,"['Barge03', 'Barge48']",No,0,0,0
Request148,811.53,168.0,241.31,0.0,1220.84,"['Barge01', 'Barge39']",No,0,0,0
Request149,266.5,546.0,1164.92,0.0,1977.42,"['Barge19', 'Truck30.47']",No,0,0,0
Request15,152.0,90.0,181.68,0.0,423.68,['Barge17'],No,0,0,0
Request150,81.0,252.0,537.66,0.0,870.66,"['Barge19', 'Truck30.48']",No,0,0,0
Request151,711.88,66.0,158.85,0.0,936.74,['Barge45'],No,0,0,0
