,Time_Step,Service_ID,Service_week,Demand_ID,Containers_Moved,Demand_Announce_time,Demand_Release_time,Demand_Due_time,Storage_hours,delay_hours,Number of transshipments,storage_cost,delay_penalty,handling_cost,transportation_cost,real_objective,Potential_Services,Potential_Requests,Solution_Number,Objective_Value
34,3,"Barge23, Train30",0,Request4,22,3,44,166,0.0,0.0,1,0.0,0.0,924.0,1458.7836999999997,1920.7836999999997,169,3,5,2932.7837
35,3,"Barge07, Barge48, Train32",0,Request4,22,3,44,166,0.0,0.0,2,0.0,0.0,1056.0,2322.2463000000002,2784.2463000000002,156,3,6,2938.246299999999
36,3,"Barge07, Barge47, Train30",0,Request4,22,3,44,166,0.0,0.0,2,0.0,0.0,1056.0,2379.7785,2841.7785,155,3,7,2995.778499999986
37,3,"Barge08, Barge47, Train30",0,Request4,22,3,44,166,0.0,0.0,2,0.0,0.0,1056.0,2115.7785,2577.7785,159,3,8,2995.778499999986
38,3,"Barge09, Barge47, Train30",0,Request4,22,3,44,166,0.0,0.0,2,0.0,0.0,1056.0,1851.7785000000001,2313.7785,162,3,9,2995.778499999986
39,3,"Barge01, Barge36, Train30",0,Request4,22,3,44,166,0.0,0.0,2,0.0,0.0,1056.0,2336.5298,2798.5298,131,3,10,2996.5297999999893
40,4,Barge31,0,Request5,24,4,74,168,6.0,0.0,0,6.0,0.0,144.0,380.1336,668.1336000000001,120,4,1,668.133600000001
41,4,"Barge26, Barge49",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,288.0,1013.6748,1157.6748,119,4,2,1349.674800000008
42,4,"Barge26, Truck32",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,1008.0,1145.7528,1649.7528,483,4,3,1841.7527999999875
43,4,"Barge23, Train29",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,1008.0,1315.9164,1819.9163999999998,118,4,4,2203.9163999999873
44,4,"Barge09, Barge47, Train29",0,Request5,24,4,74,168,0.0,0.0,2,0.0,0.0,1152.0,1744.6380000000001,2248.638,111,4,5,2272.6380000000063
45,4,"Barge23, Truck29",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,1008.0,1934.6544000000001,2438.6544000000004,482,4,6,2822.6543999999994
46,4,"Barge09, Barge47, Truck29",0,Request5,24,4,74,168,0.0,0.0,2,0.0,0.0,1152.0,2447.376,2951.376,475,4,7,2975.3759999999893
47,4,Train13,0,Request5,24,4,74,168,0.0,0.0,0,0.0,0.0,864.0,1257.42,2121.42,130,4,8,2985.420000000013
48,4,"Train10, Barge49",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,1008.0,2932.806,3436.8059999999996,128,4,9,3460.8060000000114
49,4,"Train11, Barge49",0,Request5,24,4,74,168,0.0,0.0,1,0.0,0.0,1008.0,2356.806,2860.806,129,4,10,3460.8060000000114
50,5,Barge27,0,Request6,28,5,94,151,8.0,0.0,0,8.0,0.0,168.0,417.4016,809.4016,70,5,1,809.401600000012
51,5,Train11,0,Request6,28,5,94,151,0.0,0.0,0,0.0,0.0,1008.0,1760.3880000000001,2768.3880000000004,73,5,2,2908.3880000000063
52,5,Train12,0,Request6,28,5,94,151,0.0,0.0,0,0.0,0.0,1008.0,1760.3880000000001,2768.3880000000004,74,5,3,3300.3880000000063
53,6,Barge39,0,Request7,28,6,13,90,53.0,0.0,0,53.0,0.0,168.0,456.53299999999996,2108.533,263,6,1,2108.532999999996
54,6,"Barge35, Truck29",0,Request7,28,6,13,90,0.0,0.0,1,0.0,0.0,1176.0,2270.1405999999997,2858.1405999999997,679,6,2,3250.1406000000134
55,6,"Barge33, Barge48, Truck32",0,Request7,28,6,13,90,0.0,0.0,2,0.0,0.0,1344.0,1907.8429999999998,2495.843,674,6,3,3559.8429999999935
56,6,"Barge33, Barge48, Barge49",0,Request7,28,6,13,90,0.0,0.0,2,0.0,0.0,504.0,2131.752,2299.752,258,6,4,4273.752000000008
57,6,Train21,0,Request7,28,6,13,90,0.0,0.0,0,0.0,0.0,1008.0,1613.6889999999999,2621.689,268,6,5,4413.689000000013
58,6,"Barge36, Truck29",0,Request7,28,6,13,90,0.0,0.0,1,0.0,0.0,1176.0,2270.1405999999997,2858.1405999999997,680,6,6,4722.940600000002
59,6,"Barge35, Train29",0,Request7,28,6,13,90,0.0,0.0,1,0.0,0.0,1176.0,3298.2796,3886.2796000000003,261,6,7,4936.279600000009
60,6,"Barge36, Train29",0,Request7,28,6,13,90,0.0,0.0,1,0.0,0.0,1176.0,1954.2795999999998,2542.2796,262,6,8,4936.279600000009
61,6,"Barge33, Barge47, Train29",0,Request7,28,6,13,90,0.0,0.0,2,0.0,0.0,1344.0,2706.4548,3294.4548,257,6,9,5016.454800000007
62,6,"Barge33, Train28, Truck32",0,Request7,28,6,13,90,0.0,0.0,2,0.0,0.0,2184.0,3776.3838000000005,4364.3838000000005,678,6,10,5428.3838000000105
63,7,"Barge33, Barge48, Truck33",0,Request8,12,7,40,152,11.0,0.0,2,11.0,0.0,576.0,1245.6390000000001,1629.639,696,7,1,1629.6389999999956
64,7,"Barge36, Train30",0,Request8,12,7,40,152,0.0,0.0,1,0.0,0.0,504.0,975.2904000000001,1227.2904,278,7,2,1647.290399999998
65,7,"Barge33, Barge48, Train32",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,576.0,1266.27,1518.27,274,7,3,1650.2699999999895
66,7,"Barge33, Barge47, Train30",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,576.0,1297.6512,1549.6512000000002,273,7,4,1681.651199999993
67,7,Train22,0,Request8,12,7,40,152,0.0,0.0,0,0.0,0.0,432.0,943.065,1375.065,283,7,5,1831.0650000000023
68,7,"Barge36, Truck30",0,Request8,12,7,40,152,0.0,0.0,1,0.0,0.0,504.0,1344.9054,1596.9053999999999,702,7,6,2016.9053999999887
69,7,"Barge33, Barge47, Truck30",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,576.0,1883.2662,2135.2662,694,7,7,2267.2662000000128
