Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request076,420,420,1188.82,0,2028.82,"['Barge26', 'Train33']",No,0,0,0
Request077,2095,1260,3808.51,0,7163.51,"['Barge36', 'Train31']",No,0,0,0
Request078,926.03,1092,2329.85,0,4347.88,"['Barge17', 'Truck30.21']",No,0,0,0
Request079,60,120,93.17,0,273.17,['Barge08'],No,0,0,0
Request080,1131.43,168,221.74,0,1521.18,"['Barge03', 'Barge48']",No,0,0,0
Request081,1108.5,180,489.14,0,1777.64,['Barge39'],No,0,0,0
Request082,468.5,1260,2688.29,0,4416.79,"['Barge17', 'Truck30.22']",No,0,0,0
Request083,3192,1176,854.1,555.33,5777.43,"['Barge26', 'Train32']",No,0,0,0
Request084,384,336,244.03,150.67,1114.69,"['Barge26', 'Train32']",No,0,0,0
Request085,293.83,120,172.36,0,586.2,"['Barge01', 'Barge39']",No,0,0,0
Request086,1050.6,714,2013.08,0,3777.68,"['Barge45', 'Train33']",No,0,0,0
Request087,352.6,144,206.84,0,703.44,"['Barge01', 'Barge39']",No,0,0,0
Request088,1092,882,2496.53,0,4470.53,"['Barge26', 'Train33']",No,0,0,0
Request089,165,420,900.75,0,1485.75,"['Barge35', 'Truck30.23']",No,0,0,0
Request090,587.67,240,344.73,0,1172.4,"['Barge01', 'Barge39']",No,0,0,0
Request091,314.3,72,103.42,0,489.72,"['Barge01', 'Barge39']",No,0,0,0
Request092,387,378,1069.94,48.45,1883.39,"['Barge26', 'Train33']",No,0,0,0
Request093,84.15,162,327.03,0,573.18,['Barge17'],No,0,0,0
Request094,1397.72,624,1563.64,0,3585.35,"['Barge32', 'Barge48', 'Train33']",No,0,0,0
Request095,444.45,108,155.13,0,707.58,"['Barge01', 'Barge39']",No,0,0,0
Request096,556.27,1344,1758.49,0,3658.76,"['Barge33', 'Barge48', 'Truck33.24']",No,0,0,0
Request097,215.6,1176,1706.32,0,3097.92,"['Barge45', 'Truck33.25']",No,0,0,0
Request098,48,48,37.27,0,133.27,['Barge05'],No,0,0,0
Request099,176,66,56.37,0,298.37,['Barge32'],No,0,0,0
Request100,195,78,163.51,0,436.51,['Barge35'],No,0,0,0
Request101,200.67,120,316.78,0,637.44,['Barge31'],No,0,0,0
Request102,2328,1008,732.08,0,4068.08,"['Barge26', 'Train32']",No,0,0,0
Request103,362.93,96,130.44,0,589.37,"['Barge33', 'Barge48']",No,0,0,0
Request104,136,48,100.62,0,284.62,['Barge35'],No,0,0,0
Request105,2400.83,150,395.97,1014.17,3960.97,['Barge31'],No,0,0,0
Request106,956.8,576,1443.36,28.6,3004.76,"['Barge33', 'Barge48', 'Train33']",No,0,0,0
Request107,1311,138,235.72,0,1684.72,['Barge28'],No,0,0,0
Request108,330,540,2339.44,0,3209.44,['Train15'],No,0,0,0
Request109,515.43,168,221.74,0,905.18,"['Barge06', 'Barge48']",No,0,0,0
Request110,378,378,274.53,0,1030.53,"['Barge26', 'Train32']",No,0,0,0
Request111,1173,1260,1143.18,0,3576.18,"['Barge23', 'Train30']",No,0,0,0
Request112,268.33,420,385.72,0,1074.05,"['Barge36', 'Train30']",No,0,0,0
Request113,560,420,305.03,118.33,1403.37,"['Barge26', 'Train32']",No,0,0,0
Request114,312.3,378,362.46,0,1052.76,"['Barge45', 'Truck32.15']",No,0,0,0
Request115,144,324,1403.66,0,1871.66,['Train15'],No,0,0,0
Request116,640.53,96,253.42,0,989.96,['Barge31'],No,0,0,0
Request117,198,132,276.71,0,606.71,['Barge35'],No,0,0,0
Request118,705,540,2339.44,0,3584.44,['Train15'],No,0,0,0
Request119,1664,936,4055.02,817.27,7472.29,['Train15'],No,0,0,0
Request120,99.33,240,314.02,0,653.35,"['Barge33', 'Barge48', 'Truck33.16']",No,0,0,0
Request121,731.5,588,833.22,0,2152.72,"['Train26', 'Barge49']",No,0,0,0
Request122,555.1,156,205.91,0,917.01,"['Barge05', 'Barge48']",No,0,0,0
Request123,165.6,336,322.19,0,823.79,"['Barge45', 'Truck32.17']",No,0,0,0
Request124,174,216,935.77,0,1325.78,['Train15'],No,0,0,0
Request125,196.8,432,565.23,0,1194.03,"['Barge33', 'Barge48', 'Truck33.18']",No,0,0,0
Request126,1612.3,966,876.43,0,3454.73,"['Barge23', 'Train30']",No,0,0,0
Request127,1752.33,336,443.49,0,2531.82,"['Barge04', 'Barge48']",No,0,0,0
Request128,232.9,714,5515.33,0,6462.23,"['Barge45', 'Truck34.19']",No,0,0,0
Request129,241.5,378,1142.55,0,1762.05,"['Barge36', 'Train31']",No,0,0,0
Request130,966,504,2183.48,0,3653.48,['Train15'],No,0,0,0
Request131,1035.67,1092,1002.86,0,3130.53,"['Barge36', 'Train30']",No,0,0,0
Request132,495,396,1715.59,0,2606.59,['Train16'],No,0,0,0
Request133,1517.15,798,2412.06,0,4727.21,"['Barge35', 'Train31']",No,0,0,0
Request134,1226.67,1800,3769.09,0,6795.76,"['Train24', 'Train31']",No,0,0,0
Request135,488,288,1247.7,0,2023.7,['Train15'],No,0,0,0
Request136,108,96,137.89,0,341.89,"['Barge01', 'Barge39']",No,0,0,0
Request137,1660.5,324,465.38,379.8,2829.68,"['Barge01', 'Barge39']",No,0,0,0
Request138,2648.1,1092,3078.83,1778.4,8597.33,"['Barge45', 'Train33']",No,0,0,0
Request139,396,54,96.43,0,546.43,['Barge38'],No,0,0,0
Request140,385,120,172.36,0,677.36,"['Barge01', 'Barge39']",No,0,0,0
Request141,334.62,714,1523.36,0,2571.98,"['Barge17', 'Truck30.26']",No,0,0,0
Request142,1132.5,180,258.55,0,1571.05,"['Barge01', 'Barge39']",No,0,0,0
Request143,2778.1,1092,3078.83,0,6948.93,"['Barge45', 'Train33']",No,0,0,0
Request144,516,288,413.67,0,1217.67,"['Barge01', 'Barge39']",No,0,0,0
Request145,84.25,30,79.19,0,193.44,['Barge31'],No,0,0,0
Request146,4874.4,324,465.38,2132.1,7795.88,"['Barge01', 'Barge39']",No,0,0,0
Request147,2254.75,348,459.33,647.67,3709.74,"['Barge03', 'Barge48']",No,0,0,0
Request148,805,168,241.31,0,1214.31,"['Barge01', 'Barge39']",No,0,0,0
Request149,266.5,546,1164.92,0,1977.42,"['Barge19', 'Truck30.27']",No,0,0,0
Request150,81,252,537.66,0,870.66,"['Barge19', 'Truck30.28']",No,0,0,0
Request151,716.65,66,158.85,0,941.5,['Barge45'],No,0,0,0
Request152,593.13,168,339.14,0,1100.27,['Barge17'],No,0,0,0
Request153,120.98,84,110.87,0,315.86,"['Barge07', 'Barge48']",No,0,0,0
Request154,174,504,1075.32,0,1753.32,"['Barge19', 'Truck30.29']",No,0,0,0
Request155,261,174,351.25,0,786.25,['Barge21'],No,0,0,0
Request156,544.37,588,1664.35,19.6,2816.32,"['Barge26', 'Train33']",No,0,0,0
Request157,207.5,60,86.18,0,353.68,"['Barge01', 'Barge39']",No,0,0,0
Request158,513.5,156,224.07,0,893.57,"['Barge01', 'Barge39']",No,0,0,0
Request159,638.8,144,357.77,0,1140.57,['Barge26'],No,0,0,0
Request160,54.58,150,302.8,0,507.39,['Barge17'],No,0,0,0
Request161,579.5,798,1122.45,0,2499.95,"['Barge35', 'Truck29.30']",No,0,0,0
Request162,243,162,327.03,0,732.03,['Barge21'],No,0,0,0
Request163,178.75,150,361.03,0,689.78,['Barge45'],No,0,0,0
Request164,227.5,60,86.18,0.33,374.02,"['Barge01', 'Barge39']",No,0,0,0
Request165,221.55,294,281.92,0,797.47,"['Barge45', 'Truck32.31']",No,0,0,0
Request166,815.73,168,228.27,0,1212,"['Barge33', 'Barge48']",No,0,0,0
Request167,430.5,882,1881.8,0,3194.3,"['Barge19', 'Truck30.32']",No,0,0,0
Request168,965.5,180,363.36,0,1508.86,['Barge17'],No,0,0,0
Request169,2628.73,1176,854.1,1058.4,5717.23,"['Barge26', 'Train32']",No,0,0,0
Request170,1022.55,102,245.5,0,1370.05,['Barge45'],No,0,0,0
Request171,839.17,1050,3162.12,0,5051.28,"['Barge23', 'Train31']",No,0,0,0
Request172,2589.2,1008,732.08,907.2,5236.48,"['Barge26', 'Train32']",No,0,0,0
Request173,1338.7,132,348.46,0,1819.16,['Barge31'],No,0,0,0
Request174,2028,72,145.35,1240.8,3486.15,['Barge21'],No,0,0,0
Request175,410.8,336,1015.6,0,1762.4,"['Barge36', 'Train31']",No,0,0,0
Request176,207.55,294,281.92,0,783.47,"['Barge45', 'Truck32.33']",No,0,0,0
Request177,81,162,327.03,0,570.03,['Barge18'],No,0,0,0
Request178,1546.25,150,395.97,0,2092.22,['Barge31'],No,0,0,0
Request179,2221.25,150,395.97,1155,3922.22,['Barge31'],No,0,0,0
Request180,426.5,420,609.4,0,1455.9,"['Barge45', 'Truck33.34']",No,0,0,0
Request181,1150.05,714,1035.98,0,2900.03,"['Barge45', 'Truck33.35']",No,0,0,0
Request182,296,672,1433.75,0,2401.75,"['Barge19', 'Truck30.36']",No,0,0,0
Request183,1501.6,96,253.42,0,1851.02,['Barge31'],No,0,0,0
Request184,367.8,504,731.28,0,1603.08,"['Barge45', 'Truck33.37']",No,0,0,0
Request185,120,120,242.24,0,482.24,['Barge20'],No,0,0,0
Request186,520,720,3223.22,0,4463.22,['Train23'],No,0,0,0
Request187,916.55,138,364.29,142.6,1561.44,['Barge31'],No,0,0,0
Request188,77,66,107.61,0,250.61,['Barge46'],No,0,0,0
Request189,1220.4,144,380.13,0,1744.53,['Barge31'],No,0,0,0
Request190,807.5,120,158.39,203.33,1289.22,"['Barge03', 'Barge48']",No,0,0,0
Request191,303.78,66,163.98,0,533.76,['Barge26'],No,0,0,0
Request192,229.5,1134,1582.49,0,2945.99,"['Barge18', 'Truck29.38']",No,0,0,0
Request193,264.37,336,439.62,0,1039.99,"['Barge33', 'Barge48', 'Truck33.39']",No,0,0,0
Request194,1460.87,816,2044.76,193.8,4515.42,"['Barge33', 'Barge48', 'Train33']",No,0,0,0
Request195,1966.13,672,488.06,1228.8,4354.99,"['Barge26', 'Train32']",No,0,0,0
Request196,1830,1080,4678.88,0,7588.88,['Train15'],No,0,0,0
Request197,988.95,378,274.53,0,1641.48,"['Barge26', 'Train32']",No,0,0,0
Request198,2067,360,419.26,1120,3966.26,"['Barge40', 'Barge48']",No,0,0,0
Request199,572,210,634.75,175.5,1592.25,"['Barge35', 'Train31']",No,0,0,0
Request200,198,66,133.23,0,397.23,['Barge21'],No,0,0,0
