Episode,Total Cost,Total Reward
99.0,547792.8041966665,-224752.6792999999
100.0,492889.94217666646,-57864.152883333336
101.0,562730.0789533332,-287145.31841666653
102.0,567215.5427266666,-273732.5719099998
103.0,576240.4514533334,-242086.6145333334
104.0,493475.9793666665,-121988.36933333332
105.0,458286.6878166666,-110306.75504999998
106.0,469093.1563833332,-68014.36196666671
107.0,493401.2206733332,-68820.5602
108.0,492650.1858666666,-133829.06281666667
109.0,468388.02531333326,-106305.02624666668
110.0,505999.8137099999,-297904.74640000006
111.0,444462.03492333327,-63785.93693333332
112.0,471554.527153333,-69443.67434999999
113.0,491827.15104,-131796.33761666666
114.0,574233.6741433336,-226680.4453
115.0,454309.2509566666,-105044.91878333333
116.0,552939.8913666665,-232339.1056933333
117.0,458048.82097000006,-78768.11513333333
118.0,511705.8848633333,-193945.55633
119.0,485856.2729199998,-102649.3858
120.0,527478.6896366668,-140014.36804999996
121.0,472569.1049599998,-76979.98871333335
122.0,472624.74206666654,-52336.04183333334
123.0,520190.20906666655,-132826.46593333333
124.0,514029.4889199999,-129159.54758333332
125.0,512781.01747,-157839.62646666664
126.0,452733.6398199999,-75392.19908333333
127.0,555815.6386499999,-153740.70505
128.0,529494.9303133332,-165693.96362000005
129.0,461155.1645099999,-57446.888766666685
130.0,525101.3984333331,-100680.77113333336
131.0,524625.9618700001,-225559.2834666666
132.0,478495.5265899997,-88170.99394
133.0,498445.3982299998,-126691.26663333332
134.0,462006.7692333333,-128783.99848333331
135.0,504232.23812,-135554.52645666664
136.0,453273.0765433332,-64183.54626666668
137.0,511180.4186166666,-127866.9180833333
138.0,498501.3254466666,-182790.4554966666
139.0,515384.4914699998,-170368.7194566666
140.0,447289.4909700001,-74358.39836666668
141.0,500010.46402,-137052.87359333335
142.0,452698.18001666665,-78586.09605
143.0,448596.1818633332,-13669.298716666668
144.0,464687.4137099999,-90551.36089333336
145.0,492789.8766866664,-142192.3839533333
146.0,459445.3498033331,-34648.95186666667
147.0,500887.48088333337,-133306.6777833333
148.0,470941.2957633332,-51215.91841666666
149.0,461272.36266666686,-85568.12834999998
150.0,466073.0315833333,-108231.59086666668
151.0,474638.4032766665,-109056.95638333332
152.0,511826.0658199998,-141548.13743333338
153.0,454885.3111333333,-77728.78028333333
154.0,477614.3741933331,-75703.11212666666
155.0,527575.6501399997,-146944.55816666663
156.0,507585.1424166666,-213143.5096833333
157.0,458267.82165666646,-92768.36346666672
158.0,463595.910873333,-55534.92663333334
159.0,496693.12787333305,-152482.55658666664
160.0,471727.86304333335,-94838.75229666667
161.0,475017.4065666664,-55721.88181666667
162.0,514628.2128399999,-194141.4310900001
163.0,549605.5534299997,-179917.96339999992
164.0,516777.5127,-115879.25313333336
165.0,454120.1888999999,-83910.47316666668
166.0,505769.8288466665,-131157.44018333332
167.0,603947.0351133334,-337844.8827633332
168.0,479433.0835766666,-78778.85318333333
169.0,485627.6871033333,-124256.62673333332
170.0,457627.6696866664,-19592.389916666667
171.0,450552.0509566665,-82679.19347333332
172.0,486881.8721466666,-124391.48311000002
173.0,472150.9930333333,-80048.98123333332
174.0,543864.9477699997,-181244.295
175.0,500171.23,-94296.06293333332
176.0,481108.2681666665,-137835.6035333333
177.0,511208.7856333333,-117822.91326666666
178.0,545069.5108200001,-169347.69833333336
179.0,482382.85016999976,-108091.00828333336
180.0,519321.9662033334,-222523.9329366668
181.0,495176.4987566665,-127127.6302
182.0,469096.9943666666,-90595.37186666668
183.0,597977.5963999998,-252139.6979833333
184.0,531346.0158066668,-199283.71410666656
185.0,456711.9156999999,-53548.60701666666
186.0,468217.54868666665,-91689.05380666663
187.0,454024.07641666656,-55462.4172
188.0,486505.0944733332,-98568.3841
189.0,485787.9762266665,-113501.28616666666
190.0,456642.4865366665,-47662.90794999999
191.0,461801.41218666633,-53200.45806666666
192.0,445759.6914499999,-56310.07346666666
193.0,518996.43083333306,-180871.8382
194.0,532039.7967199999,-248636.7630666665
195.0,504101.9849633333,-103088.83335000002
196.0,479546.0869433333,-123659.88818333336
197.0,468762.4194766667,-71665.58297333334
198.0,480611.72884,-128014.27093666668
199.0,474644.0108833332,-159837.54606666666
200.0,513800.69316999975,-151284.23487
201.0,465624.28010999993,-10858.512083333331
202.0,533944.9841866667,-217555.51897
203.0,454573.1677699999,-67431.89754999998
204.0,569784.601903333,-257218.1148166668
205.0,509394.8419033332,-123527.75321666666
206.0,499970.2859466665,-100520.1394333333
207.0,520879.9387166668,-165551.9216666667
208.0,534429.7860533333,-225274.9732933333
209.0,537319.1928199999,-198301.95288666664
210.0,570269.2956099998,-248172.87334333328
211.0,452172.32437999983,-19200.11926666667
212.0,554968.4875499998,-191202.0706
213.0,489504.040883333,-105769.42411666668
214.0,552669.8054366665,-188675.61023333328
215.0,513028.1002833332,-86377.94565000001
216.0,494081.05648333335,-214253.56921666668
217.0,504244.9223166666,-116821.4964
218.0,587730.86323,-230983.3829966668
219.0,463901.5950299999,-26426.191626666667
220.0,468002.3349166666,-118248.41239999994
221.0,452752.9756499999,-35632.3008
222.0,513094.3119499999,-130853.44111666668
223.0,546020.8081033333,-186783.95541666663
224.0,452523.3285999999,-67303.97904666666
225.0,520192.311283333,-171827.20040000003
226.0,531787.5451666666,-193089.71181666668
227.0,471042.8031033332,-114077.14968333338
228.0,565175.7324099998,-203953.5626833333
229.0,463119.6965366666,-53966.54827333332
230.0,459354.1551033333,-61564.68143333335
231.0,506758.8333799999,-131506.53931666666
232.0,501787.1989733332,-77423.44780000001
233.0,450426.9038566665,-28033.524833333337
234.0,507471.3757166668,-121617.61643333331
235.0,617620.1795099998,-238265.9397133334
236.0,481080.8962666665,-108058.39431000002
237.0,528589.5853800002,-163497.4336133333
238.0,566413.0972999999,-199478.30195
239.0,504207.5706499999,-154931.6531633333
240.0,502630.88055,-119528.41995
241.0,460413.5248833334,-134359.78515
242.0,566307.958733333,-158774.83303333333
243.0,456184.7465066666,-31053.10224333332
244.0,535684.35833,-154270.93874999994
245.0,477750.7521533332,-121157.87246666668
246.0,630142.2606366666,-232373.6069833333
247.0,472650.6960666664,-153051.9430333333
248.0,573480.7761966668,-293981.56267999986
249.0,516650.6188266663,-185021.1467
250.0,542474.35485,-234599.6464666666
251.0,463599.83416999975,-39441.56363333333
252.0,460793.3266033332,-68789.65466666667
253.0,509763.06569666654,-105402.10811
254.0,496275.1084699999,-115687.3311
255.0,454109.31051333336,-14742.508649999998
256.0,480870.7972899999,-100717.18393333338
257.0,528508.1512666667,-161394.8451166667
258.0,517712.1574466663,-235613.51666666672
259.0,456095.9019766664,-81452.53048333332
260.0,517439.5645333333,-156122.90238333333
261.0,493652.0937933331,-61991.64097666667
262.0,472214.7636,-121499.4065333333
263.0,506091.8557999998,-173604.66353333325
264.0,486926.78496,-114582.1638
265.0,503954.46723666665,-183265.25209999995
266.0,573444.8472999998,-169752.50635000004
267.0,455262.8359333333,-79452.75598333335
268.0,490789.4428399999,-164640.55788333327
269.0,455097.4053333332,-48750.0667
270.0,462666.6893833335,-100256.91537333332
271.0,464870.41618666647,-60742.90003333335
272.0,504038.7073999996,-113495.54454999998
273.0,525917.1714099997,-199708.4599233333
274.0,554127.6184533329,-205360.93155
275.0,504777.67483333335,-128909.8244
276.0,516621.19818333327,-102270.77095
277.0,566481.0574199999,-314073.56482
278.0,452429.0247833333,-50276.92076666667
279.0,461674.11368,-68619.50001000002
280.0,544164.4578766666,-190046.8318933333
281.0,542026.9598899999,-232115.34665
282.0,499410.5217466665,-102567.35117666666
283.0,480222.56112333306,-151031.85511666664
284.0,564853.0805766664,-174143.7936000001
285.0,462398.1387633332,-67183.13675
286.0,621225.8449433334,-350702.9561166663
287.0,569534.7195333331,-219860.86438666665
288.0,509739.0218233332,-173667.63796666663
289.0,495788.2249966664,-171889.20051999995
290.0,493837.44075,-143942.60190333333
291.0,452797.46555,-81555.8567833333
292.0,495011.46140666655,-135935.43413333333
293.0,545913.4163166665,-146148.26878333333
294.0,479860.3326966665,-28923.84995
295.0,543588.7578966666,-208853.58379999988
296.0,536989.266773333,-173090.71825
297.0,546308.1335166665,-216437.44625
298.0,476681.3967266665,-82818.62168333333
299.0,458677.07660000015,-106541.57161666664
300.0,472497.02008999983,-46149.6642
301.0,494398.52328999975,-137540.4412233333
302.0,465859.2337,-104215.85541666666
303.0,468118.9063466667,-83324.34398333331
304.0,467548.03603666654,-111014.19533333334
305.0,499055.9300733332,-111131.28434666668
306.0,511434.2892833332,-168325.0547
307.0,504556.6736799998,-129058.52823
308.0,465755.5604433332,-35404.18381666667
309.0,519272.7178066665,-160064.76748999997
310.0,496627.8585100001,-157426.05593333326
311.0,482227.84416666656,-126071.72623333336
312.0,525716.1501299997,-205492.6397833333
313.0,507823.89478,-175832.93661999996
314.0,489550.3240566665,-144600.80454999997
315.0,507442.97524999984,-204261.7851466667
316.0,472591.75518,-98364.24991333338
317.0,461798.5546666665,-61313.01718333333
318.0,507485.0603266665,-120122.16259
319.0,495904.81674999977,-127317.6620066667
320.0,457399.6195533332,-61196.75606666669
321.0,496628.82265666645,-133471.81126333334
322.0,503702.9995033331,-128581.25481666668
323.0,486610.5840333332,-87015.00716666666
324.0,522208.22621,-193647.50551
325.0,493962.7128399998,-155542.46106666667
326.0,490360.3889966665,-131582.31602
327.0,556051.1292366668,-232326.09465000013
328.0,541868.2594333332,-133707.48756666665
329.0,464752.5112833333,-50078.62368333333
330.0,454732.8789599999,-38393.16938333334
331.0,510307.8488700001,-188713.98876666668
332.0,467520.5383799999,-144522.90283333333
333.0,453537.8436433333,-28622.89742666666
334.0,488924.32558000006,-120718.14552333333
335.0,479127.0079033332,-47701.94731333333
336.0,591044.0950666667,-288363.12283666665
337.0,495631.1887933331,-101679.24202
338.0,463335.3950366666,-26049.628930000003
339.0,454194.5711166665,-30814.651016666667
340.0,505659.4451699999,-125107.70315999998
341.0,488437.2649666668,-93426.20603333336
342.0,507412.5524833332,-222619.4609166665
343.0,480091.1177833333,-168921.45993333327
344.0,520987.4165066665,-165026.3997033334
345.0,457931.8392299999,-82828.07879999999
346.0,549670.41858,-181754.96262
347.0,460543.1646166665,-48541.998183333344
348.0,536389.5724,-275287.31963333336
349.0,524821.64461,-184725.63443333333
350.0,508844.6997100001,-144639.35471666662
351.0,465086.86949,-160762.73889
352.0,550380.8298999998,-179971.09407666666
353.0,526791.6653033333,-165171.1981399999
354.0,523579.9977666668,-163750.9118833333
355.0,494992.31816666655,-97725.53306666664
356.0,591291.8144066666,-284794.6964333332
357.0,520841.5778633332,-141763.04016666667
358.0,480581.2586533331,-75499.09158333334
359.0,541094.8918833332,-204630.25485000008
360.0,516253.4110433332,-228177.2341566668
361.0,514749.5091100001,-173886.80474999998
362.0,562342.89077,-244371.42996
363.0,451058.60710666666,-63937.671490000015
364.0,533466.9018899999,-255888.9196166667
365.0,458225.9043466666,-26776.256516666668
366.0,479001.88423,-133973.79664999995
367.0,538392.4845166664,-188344.22898333333
368.0,489117.1411499999,-69875.79176666666
369.0,511537.67668333335,-163382.40034999998
370.0,570802.437263333,-187323.5154
371.0,492124.1243166665,-147237.39643333328
372.0,508552.940543333,-156266.84668999998
373.0,471199.17575000005,-108176.44058333329
374.0,490070.0040333332,-140597.05863333333
375.0,516338.70385333314,-158853.3611833334
376.0,495839.1403066666,-99833.7966
377.0,496918.61407666665,-131084.69125000003
378.0,534822.3408766665,-173086.38760000005
379.0,474939.7265933333,-118521.9233
380.0,469074.23145666666,-56005.34226
381.0,489080.1179433333,-204276.1325766665
382.0,594757.6815466665,-300399.87629
383.0,543857.7206533332,-215040.20847666665
384.0,524283.4624166664,-178511.87310000003
385.0,509785.0928099998,-72990.74678333332
386.0,499547.5870499997,-159165.79815000002
387.0,559338.2343233335,-211625.86355000004
388.0,456833.4820633332,-69551.61925
389.0,560115.3078833332,-233861.39
390.0,447017.34154333326,-58449.69007333334
391.0,446430.0809999999,-54468.79305000002
392.0,539183.8490966664,-141514.37178333328
393.0,543404.1987999998,-280420.29368333326
394.0,523320.6706666667,-193261.3321166667
395.0,479286.13361666654,-107156.1256
396.0,532531.5140566668,-206638.27589333337
397.0,483461.9988299998,-62798.626950000005
398.0,485930.1726999999,-108587.05168333335
399.0,571687.1040599998,-212801.2506833333
400.0,543821.8991666664,-271499.33869999985
401.0,455755.14226,-35522.39878333334
402.0,573967.7493833334,-228500.29486666672
403.0,486333.78522666654,-97543.34295999998
404.0,577884.0556833333,-211076.5570333333
405.0,496939.85222333326,-109541.1728
406.0,479415.6866166664,-143557.06676666663
407.0,473535.7935100001,-86870.77510000001
408.0,505849.20104,-108840.02726666666
409.0,567838.6333333332,-224747.7194333333
410.0,553890.1788099997,-277756.1587666668
411.0,484386.3074700001,-182200.38726666663
412.0,506028.5574199999,-133846.98914333328
413.0,494861.4780699998,-143600.30435
414.0,460990.2435766666,-61676.87249999998
415.0,507962.7269133332,-160227.36051666667
416.0,463357.4916166664,-69057.18156666665
417.0,608950.3891499998,-331956.8459000001
418.0,504025.67716333305,-182534.40251666665
419.0,472322.1519566664,-142762.92263999995
420.0,501495.4489066665,-118911.53485
421.0,502284.65524333325,-101093.36625
422.0,481280.8759833332,-104270.86599999998
423.0,455845.4190833332,-39570.38248333334
424.0,519446.59141333314,-178731.11176666664
425.0,501242.1613233333,-104129.22855
426.0,501019.4179999997,-218562.20635
427.0,585110.6153433331,-164826.02792666663
428.0,455411.16912,-42240.09288333334
429.0,471176.4763466667,-142535.16167
430.0,499970.4892733333,-110522.87105000002
431.0,454449.4213000001,-74082.92203333334
432.0,496007.8821899999,-118765.33393333334
433.0,498967.22444,-191601.5410166668
434.0,475914.04611999984,-76694.58078333334
435.0,495998.94641000015,-84082.52891666669
436.0,488586.9804733332,-97401.29391666663
437.0,518961.77014666656,-189689.20829333333
438.0,524735.4201766667,-155370.46974999996
439.0,499892.4778266665,-90838.06857333337
440.0,543905.2610199999,-167410.9397333333
441.0,473450.0661166663,-125282.66379999997
442.0,510024.36662666645,-183432.8895733333
443.0,518829.4275866668,-151858.19013333335
444.0,504811.53594999993,-131758.17750000002
445.0,486753.1288766668,-145068.64516
446.0,585000.9609633331,-309410.43938
447.0,470074.31694666645,-100426.62402999996
448.0,526795.8647333334,-170373.5388766667
449.0,501015.00536666665,-123446.53871666663
450.0,599566.2290666667,-268061.3128000001
451.0,531772.5714233334,-204396.17470666667
452.0,479467.08433999977,-94259.35523666664
453.0,455261.4263166666,-36370.14645
454.0,473395.4197666665,-112857.55593333332
455.0,469885.8865699999,-134260.89748333333
456.0,566532.9079166667,-264268.2336666667
457.0,494921.8952333332,-143360.21977666666
458.0,510670.9203799998,-238807.47023999988
459.0,507144.8633299998,-145308.53908999998
460.0,481380.4174366668,-100166.78936666666
461.0,542509.5687066665,-199937.6809333333
462.0,481585.8369399999,-127595.19636666669
463.0,472763.08216999983,-95675.90007333334
464.0,496964.3380233331,-168597.90151666666
465.0,469282.8356966666,-53734.11143333333
466.0,541506.2222566667,-207522.8253833333
467.0,571681.9571966665,-257136.02347000007
468.0,468563.0825033332,-74992.95878333332
469.0,456313.47459999984,-29528.59673333333
470.0,512797.16142,-172602.50092
471.0,537362.8835,-175589.76978333338
472.0,552156.0571333332,-221357.74485000008
473.0,546017.2325099997,-204322.8079566667
474.0,509578.6595233333,-242936.8386833333
475.0,468382.02200333326,-48982.43253333332
476.0,478829.6768666665,-130858.33816666664
477.0,461237.0806933332,-72461.41004999999
478.0,492692.0506833334,-163140.26388999991
479.0,486230.1229933332,-118508.97651666666
480.0,498173.0803166667,-67559.59998333333
481.0,523134.2644999999,-93506.37471666669
482.0,503240.23098999984,-142577.31528666665
483.0,514329.7224333332,-116950.21569666664
484.0,545171.2681566667,-243825.42006666664
485.0,528218.8287,-196629.88386666664
486.0,525781.8142033333,-209860.4545300001
487.0,519035.3088299997,-153198.46809999994
488.0,498035.8398599998,-87599.13183333332
489.0,495838.6925499999,-95325.34461666664
490.0,490485.1088599998,-78851.87304666667
491.0,488591.8855033334,-187155.7515
492.0,486786.69794999965,-94276.42439333336
493.0,527967.7468099999,-191709.09840000005
494.0,549958.6404366664,-203157.2313633334
495.0,516241.7223999996,-127627.43593333333
496.0,496810.43220666656,-106917.6561
497.0,455302.80552,-37751.08898333332
498.0,523178.6864166665,-185254.68341666664
499.0,480615.5798366665,-58269.295946666665
500.0,537719.6639299997,-151515.60171666663
501.0,469398.4142066666,-86753.67808333333
502.0,514993.5152433331,-175012.58188333336
503.0,470600.16024,-105724.6397966667
504.0,498716.84193333326,-143348.06773333327
505.0,469761.2890166668,-91740.4266166667
506.0,449023.7157099998,-50944.65781000001
507.0,458657.42549999984,-36787.845233333326
508.0,542123.2074066664,-156652.68465
509.0,545454.3245999998,-186511.46345
510.0,521972.3969866666,-193100.53927666668
511.0,551627.9250699999,-285878.8291533333
512.0,538316.1321666666,-176398.6126833333
513.0,524829.0832833331,-252404.10939666667
514.0,536786.7779633333,-179823.4062833334
515.0,509575.93327,-142644.19707999995
516.0,472748.4825466666,-68292.79274666664
517.0,535254.9691733335,-178926.76248333332
518.0,619046.6995133335,-219052.93136666663
519.0,507687.9862833334,-151364.27501666668
520.0,530320.1417466666,-170837.7962333333
521.0,554583.728213333,-241629.0799166668
522.0,525094.4136199999,-174508.40696666672
523.0,505808.7629333332,-123458.44068333332
524.0,526268.4632333332,-161395.77438333334
525.0,490356.877613333,-71815.74513
526.0,486987.4813499998,-57637.55050000001
527.0,504830.2685599999,-183471.8405333334
528.0,449679.3723533332,-18696.25525333333
529.0,499015.8640033332,-83695.11220000002
530.0,520771.1621566667,-185703.30641666663
531.0,477255.3209433332,-123453.07561666664
532.0,521981.3127666668,-251363.17815
533.0,487983.2477833331,-148216.5044166667
534.0,476203.48577,-73828.38938333333
535.0,475405.66714666656,-169677.21676666665
536.0,497209.7457766665,-117317.9812333333
537.0,559369.1477466665,-220480.45860666665
538.0,475952.1827899997,-79427.2458
539.0,493828.1610366665,-148977.62193666672
540.0,541624.5560199998,-219623.02790666663
541.0,498616.5298666667,-178624.4973
542.0,521020.4675766665,-200066.1841066667
543.0,460476.82635,-58627.44280000001
544.0,506278.2758866664,-247899.4735166667
545.0,548970.1789266665,-185114.13901666668
546.0,472237.4805,-91309.7920166667
547.0,474258.9855833332,-145113.33886666666
548.0,472078.8520733331,-119426.37029999998
549.0,460674.6833399999,-105081.0735166667
550.0,506866.3357466666,-73610.45811333333
551.0,451884.3323033332,-31510.375066666667
552.0,476001.8519366666,-61267.81704999998
553.0,497089.05758666666,-133078.52878333337
554.0,589420.8926366665,-284897.7513166667
555.0,455553.85545666656,-44728.18813333332
556.0,532399.0635800001,-288077.2118833333
557.0,456462.2067133332,-93549.48564999994
558.0,459021.6767633332,-71995.36981000002
559.0,477453.9228166665,-67507.33685000004
560.0,523681.3301033333,-175330.1111000001
561.0,451453.1468333333,-73577.89191666665
562.0,538958.2145999997,-154231.6857333333
563.0,480788.9764166666,-134402.33256666662
564.0,538651.2114333332,-152287.0322833334
565.0,455017.5302499999,-34845.749383333336
566.0,587682.6408466668,-236836.44119666665
567.0,476370.74944999977,-117089.67451666662
568.0,493308.6433966666,-192442.2717333334
569.0,487806.6624866665,-75890.43945000002
570.0,479927.8906899998,-117368.56161666667
571.0,520635.4423266666,-174579.62737666667
572.0,511498.9149166666,-143941.35733333332
573.0,531295.3609466666,-186910.42929666667
574.0,543666.6175866666,-205536.21300000005
575.0,530370.4492533332,-104040.86935
576.0,490048.9110999999,-133851.20965
577.0,463973.8827499996,-56438.01898333333
578.0,475547.6064533333,-137132.20868333333
579.0,498087.55828000006,-150946.89316333336
580.0,510614.1037866665,-178328.35815000007
581.0,471514.5562666665,-71478.89306666667
582.0,492520.5966333332,-64219.47076666667
583.0,469472.2533333331,-68934.76109333335
584.0,469577.4703033335,-94754.75555
585.0,581527.6849033334,-221089.57309999995
586.0,493147.1595033332,-149438.20306666664
587.0,521658.619093333,-111413.22058333334
588.0,505657.3103166668,-147106.15256666666
589.0,488112.6249666664,-64883.12346666666
590.0,534954.3602333332,-212328.42881666668
591.0,469744.03555000026,-114646.46791666668
592.0,495482.2147533332,-110536.50659999998
593.0,465190.45959,-76437.98095000001
594.0,466036.0212599999,-87810.83976666666
595.0,541091.6621833331,-174692.13461666662
596.0,446071.8776233333,-19891.37830333334
597.0,531128.1620833332,-244174.1604033332
598.0,473828.5592799999,-66674.09250333332
599.0,523157.952953333,-219423.2738533333
600.0,585653.5434833334,-258274.77305
601.0,478660.8028966665,-113548.74526666666
602.0,505527.7590100001,-158075.86863333333
603.0,459801.8809666665,-49351.17815000001
604.0,487647.98438666656,-158622.4437166667
605.0,609918.0288666667,-203671.3399333333
606.0,451224.1086666665,-70026.3984
607.0,491308.1621299999,-102077.89842666662
608.0,518407.56005666655,-206949.23869000003
609.0,454039.57029,-19737.041350000003
610.0,488585.766743333,-53408.18446
611.0,509628.0399433332,-182820.1444433333
612.0,530247.00682,-203414.30495
613.0,504721.7133033334,-185967.0592833333
614.0,505274.7426033331,-148601.02395
615.0,568293.76386,-263529.2922333334
616.0,520861.5988299996,-197052.36081333336
617.0,558997.2790466663,-165772.59425000002
618.0,453384.7244499999,-56975.97118333333
619.0,518598.1814366668,-193137.90017666665
620.0,523504.7875,-126977.87311666664
621.0,496642.0204166665,-130074.03488333333
622.0,473660.6475033332,-201676.1644066666
623.0,519244.3729500001,-231028.23731666667
624.0,528999.0596599998,-181687.41230000005
625.0,516734.9822666665,-169514.07331666665
626.0,478498.63204,-84254.73619666668
627.0,553440.990813333,-147416.84723000004
628.0,507920.8219566665,-179233.5561
629.0,630273.1784166667,-289367.8512
630.0,514692.5301433336,-151682.44903333334
631.0,473180.52001,-106781.317
632.0,478946.9965666668,-79719.87143333332
633.0,598585.8137666666,-280724.48433333327
634.0,532030.3826833331,-144071.51114999998
635.0,598585.439853333,-253998.90251666668
636.0,584230.4629666666,-255377.85897000003
637.0,562728.4444766666,-204537.63088666668
638.0,521877.1394133332,-137816.3855833333
639.0,488673.6607866666,-89642.44955
640.0,458342.63790999993,-115731.81587666665
641.0,482874.9658433332,-111824.59795
642.0,506672.5107766665,-175303.90383
643.0,478821.87931999983,-145059.55863000004
644.0,457880.28271333344,-92646.98004666666
645.0,522535.1630400001,-186258.0131
646.0,475662.1228199999,-82112.38869333334
647.0,456484.8480066666,-51414.66863333334
648.0,460706.0649033332,-52599.07065000001
649.0,521186.2239666664,-177485.94708333333
650.0,470358.0925999997,-121552.46828333332
651.0,485695.8834499999,-76120.09909999998
652.0,605979.0649466667,-313104.3346100001
653.0,475916.8019033334,-117195.9534366667
654.0,512972.4933399999,-203580.8429
655.0,504109.5998233331,-169735.82568333342
656.0,539380.93102,-156049.80409
657.0,517124.5911333333,-129773.478
658.0,498687.4180899998,-98307.3478
659.0,539822.3585233333,-236250.4399833333
660.0,504421.14286,-138790.43399999998
661.0,505654.70661333326,-107445.52090000002
662.0,522786.2538866666,-178346.6430866666
663.0,452597.5106166664,-35324.791216666665
664.0,467780.2545533334,-147251.55842999998
665.0,531256.6134633333,-209734.0468
666.0,481491.6924433332,-118736.5017
667.0,503302.1854033332,-115319.69788333333
668.0,447490.6744399999,-59424.24868333333
669.0,472782.9284966665,-101206.63318333332
670.0,479700.3767999999,-109644.67713333336
671.0,598217.8615833333,-288477.63025
672.0,454076.5745833333,-33076.17778333333
673.0,489645.6009199998,-82609.36252666665
674.0,517901.85265,-169478.35536666668
675.0,451997.68963666674,-23249.70938333333
676.0,497907.6706133331,-118958.13639999996
677.0,489080.1262499998,-132593.00314333334
678.0,512613.38134999975,-189891.6098833333
679.0,470452.6474666665,-131440.1873333333
680.0,461179.93738,-28116.692066666667
681.0,459216.2527966666,-38940.6467
